id,наименование,ссылка,"регулярная цена, руб.","промо цена, руб.",бренд
40137,"Сыр Ламбер Классический 50%, ~1кг",https://online.metro-cc.ru/products/lamber-v-bochonke-1kg-bzmzh,869,нет скидки,ЛАМБЕР
557517,"Сыр Hochland Фетакса в рассоле мягкий 45%, 480г",https://online.metro-cc.ru/products/hochland-klassicheskij-480g-bzmzh,339,289,HOCHLAND
214939,"Сыр Natura cливочный полутвердый 45%, 400г",https://online.metro-cc.ru/products/400g-syr-slivochnyy-45-natura-bzmzh,429,319,NATURA
390227,"Сыр Ламбер полутвердый 50%, 230г",https://online.metro-cc.ru/products/lamber-50230g-bzmzh,269,239,ЛАМБЕР
134954,"Сыр плавленый Hochland Чизбургер 45%, 150г",https://online.metro-cc.ru/products/plavlenyj-hochland-chizburger-45-150g-bzmzh,127,94,HOCHLAND
214938,"Сыр Natura cливочный легкий полутвердый 16%, 400г",https://online.metro-cc.ru/products/400g-syr-legkiy-30-natura-bzmzh,459,319,NATURA
119950,"METRO Chef Сыр Российский сливочный, ~1кг",https://online.metro-cc.ru/products/1kg-50-rossijskij-metro-chef-sliv-bzmzh,849,нет скидки,METRO CHEF
81436,"Сыр творожный Виолетта сливочный 70%, 400г",https://online.metro-cc.ru/products/violetta-bez-zamenitelya-molochnyh-zhirov-400-g,289,нет скидки,ВИОЛЕТТА
52296,"Творожный сыр Profi Cheese Сливочный 68%, 2кг",https://online.metro-cc.ru/products/art_52296,757,нет скидки,PROFI CHEESE
621667,"METRO Chef Сыр Тильзитер 45%, 500г",https://online.metro-cc.ru/products/metro-chef-tilziter-narezka-45-500g,539,нет скидки,METRO CHEF
276138,"Сыр Galbani Моцарелла Maxi рассольный 45%, 250г",https://online.metro-cc.ru/products/mocarella-galbani-maxi-250-g-bzmzh,339,229,GALBANI
76003,"Сыр Брест-Литовск Финский 45%, 200г",https://online.metro-cc.ru/products/art_76003,194,169,БРЕСТ-ЛИТОВСК
279224,"Сыр Galbani Боккончини Моцарелла мини 45%, 150г",https://online.metro-cc.ru/products/galbani-mocarella-mini-150g-bzmzh,229,нет скидки,GALBANI
116702,"METRO Chef Сыр для пиццы Моцарелла 45%, 1.2кг",https://online.metro-cc.ru/products/1200g-45-metro-chef-mocarella-d-pic-bzmzh,799,нет скидки,METRO CHEF
534743,"Сыр творожный Hochland с зеленью 60%, 220г",https://online.metro-cc.ru/products/hochland-s-zelenyu-220g-bzmzh,162,139,HOCHLAND
584205,"Сыр творожный Hochland для кулинарии 65%, 400г",https://online.metro-cc.ru/products/hochland-400g-bzmzh,329,нет скидки,HOCHLAND
123051,"Сыр Hochland Professional Моцарелла для пиццы, 1кг",https://online.metro-cc.ru/products/1kg-mocarella-d-piccy-hochland-bzmzh,699,нет скидки,HOCHLAND
518578,"Сыр Bonfesto Моцарелла для пиццы 40%, 1кг",https://online.metro-cc.ru/products/mocarella-dlya-piccy-bonfesto-40-1kg-bzmzh,789,нет скидки,BONFESTO
574685,"Сыр Laime Пармезан 40%, ~1.1кг",https://online.metro-cc.ru/products/laime-parmezan-40-11kg-bzmzh,1 999,1 429,LAIME
133351,"Сыр творожный Lubimo & Zdravo 65%, 2кг",https://online.metro-cc.ru/products/tvorozhnyj-65-lubimo-zdravo-2kg-bzmzh,979,нет скидки,LUBIMO & ZDRAVO
118308,"METRO Chef Сыр Тильзитер 45%, 500г",https://online.metro-cc.ru/products/500g-45-metro-chef-tilziter-bzmzh,499,нет скидки,METRO CHEF
621669,"METRO Chef Сыр Чеддар 50%, 500г",https://online.metro-cc.ru/products/metro-chef-cheddar-50-500-g,589,нет скидки,METRO CHEF
215910,"Сыр Natura cливочный полутвердый нарезка 45%, 300г",https://online.metro-cc.ru/products/300g-syr-slivochnyy-45-natura-narezka-bzmzh,419,299,NATURA
132601,"Сыр творожный Almette сливочный 60%, 150г",https://online.metro-cc.ru/products/tvorozhnyj-almette-slivochnyj-60-150g-bzmzh,129,нет скидки,ALMETTE
203292,"Сыр Laplandia сливочный кусок 45%, 300г",https://online.metro-cc.ru/products/300g-syr-45-laplandia-slivochnyy-kusok-bzmzh,479,279,LAPLANDIA
118313,"METRO Chef Сыр Российский 50%, 500г",https://online.metro-cc.ru/products/500g-50-rossijskij-metro-chef-bzmzh,409,нет скидки,METRO CHEF
636240,"Сыр Cheese Gallery Пармезан 6 месяцев выдержки, ~1кг",https://online.metro-cc.ru/products/cheese-gallery-parmezan-1kg-bzmzh,1 689,1 499,CHEESE GALLERY
510982,"Сыр Dolce Пармезан твердый тертый, 150г",https://online.metro-cc.ru/products/parmezan-tertyj-dolce-150g-bzmzh,267,нет скидки,DOLCE
621705,"METRO Chef Сыр Гауда 48%, 500г",https://online.metro-cc.ru/products/metro-chef-gauda-narezka-48-500-g,619,нет скидки,METRO CHEF
134942,"Сыр плавленый Hochland Фетакса 45%, 400г",https://online.metro-cc.ru/products/plavlennyj-hochland-fetaksa-45-400g-bzmzh,282,нет скидки,HOCHLAND
118311,"METRO Chef Сыр Маасдам 45%, 500г",https://online.metro-cc.ru/products/500g-45-metro-chef-maasdam-bzmzh,689,нет скидки,METRO CHEF
447547,"Сыр Умалат Сулугуни 45%, 280г",https://online.metro-cc.ru/products/suluguni-umalat-45-280-g,267,нет скидки,УМАЛАТ
96828,"Сыр Galbani Моцарелла мини мягкий 45%, 100г",https://online.metro-cc.ru/products/myagkij-galbani-mocarella-mini-45-bzmzh-100-g,128,нет скидки,GALBANI
621673,"METRO Chef Сыр Чеддар красный 50%, 1кг",https://online.metro-cc.ru/products/cheddar-krasnyj-narezka-50-metro-chef-1000-g,1 249,нет скидки,METRO CHEF
510798,"Сыр Mlekara Sabac Сербская брынза мягкий 45%, 450г",https://online.metro-cc.ru/products/mlekara-sabac-serbskaya-450-g-bzmzh,399,нет скидки,MLEKARA SABAC
125025,"Сыр Брест-Литовск Маасдам полутвердый брусок 45%, 200г",https://online.metro-cc.ru/products/200g-45-maasdam-brest-litovsk-bzmzh,249,нет скидки,БРЕСТ-ЛИТОВСК
547741,"Сыр Milkana GrandBlu Creamy с голубой плесенью, 100г",https://online.metro-cc.ru/products/milkana-grand-blu-creamy-100-g-bzmzh,229,нет скидки,GRANDBLU
621672,"METRO Chef Сыр Тильзитер 45%, 1кг",https://online.metro-cc.ru/products/tilziter-45-narezka-metro-chef-1-kg,1 049,нет скидки,METRO CHEF
123790,"METRO Chef Смесь тертых сыров 45%, 150г",https://online.metro-cc.ru/products/150g-smes-tyortyh-45-metro-chef-bzmzh,139,нет скидки,METRO CHEF
216771,"METRO Chef Бри 60%, 125г",https://online.metro-cc.ru/products/125g-syr-bri-60-metro-chef-bzmzh,206,нет скидки,METRO CHEF
203756,"Сыр Viola маасдам нарезка 45%, 120г",https://online.metro-cc.ru/products/120g-syr-45-viola-maasdam-narezka-bzmzh,207,149,VIOLA
621675,"METRO Chef Сыр Эдам 40% полутвердый, 1кг",https://online.metro-cc.ru/products/edam-40-narezka-metro-chef-1-kg,949,нет скидки,METRO CHEF
627943,"METRO Chef Сыр Маскарпоне 80%, 500г",https://online.metro-cc.ru/products/metro-chef-maskarpone-500-g,459,нет скидки,METRO CHEF
112947,"Сыр полутвердый Cheese Gallery Чеддер красный 50%, 200г",https://online.metro-cc.ru/products/syr-polutverdyj-cheese-gallery-cheddar-krasnyj-50-200g,283,209,CHEESE GALLERY
644206,"METRO Chef Сыр с голубой плесенью, 400г",https://online.metro-cc.ru/products/s-goluboj-metro-chef-400-g,699,нет скидки,METRO CHEF
621723,"METRO Chef Сыр Гауда 45%, ~1кг",https://online.metro-cc.ru/products/gauda-metro-chef-48-brusok-1-kg,919,нет скидки,METRO CHEF
448308,"Сыр плавленый Hochland Фетакса, 200г",https://online.metro-cc.ru/products/hochland-200g-bzmzh,159,нет скидки,HOCHLAND
621666,"METRO Chef Сыр Маасдам 45%, 500г",https://online.metro-cc.ru/products/metro-chef-maasdam-narezka-45-500g,749,нет скидки,METRO CHEF
621687,"METRO Chef Сыр Маасдам 45%, ~1кг",https://online.metro-cc.ru/products/metro-chef-maasdam-45-bez-soderzhaniya-molochnogo-zhira-1-kg,1 129,нет скидки,METRO CHEF
122601,"Продукт белково-жировой Alti Extra 50% для пиццы, ~2кг",https://online.metro-cc.ru/products/belkovo-zhirovoj-produkt-altimilk-extra-50-dlya-piccy-2-kg,482,нет скидки,ALTI
382570,"Сыр творожный Hochland сливочный 60%, 140г",https://online.metro-cc.ru/products/hochland-140g-bzmzh,130,нет скидки,HOCHLAND
516315,"Сыр Natura cливочный полутвердый 45%, 200г",https://online.metro-cc.ru/products/natura-slivochnyj-200g-bzmzh,226,нет скидки,NATURA
621703,"METRO Chef Сыр Эдам 40%, 500г",https://online.metro-cc.ru/products/metro-chef-edam-narezka-40-500-g,529,нет скидки,METRO CHEF
124474,"Сыр Dolce Deluxe Пармезан твердый 34%, 200г",https://online.metro-cc.ru/products/200g-34-parmezan-dolce-deluxe-9m-bzmzh,389,нет скидки,DOLCE
119947,"METRO Chef Сыр Эдам 40%, 500г",https://online.metro-cc.ru/products/500g-40-edam-metro-chef-kusok-bzmzh,429,нет скидки,METRO CHEF
339785,"Продукт рассольный Сиртаки Original комбинированный для греческого салата 55%, 200г",https://online.metro-cc.ru/products/produkt-sirtaki-kombinirovannyj-smeshannogo-sostava-dlya-grecheskogo-salata-200g-bzmzh,124,нет скидки,СИРТАКИ
19688,"Сыр Galbani Моцарелла 45%, 125г",https://online.metro-cc.ru/products/mocarella-galbani-125g-bzmzh,185,нет скидки,GALBANI
132600,"Сыр творожный Almette с зеленью 60%, 150г",https://online.metro-cc.ru/products/tvorozhnyj-almette-s-zelenyu-60-150g-bzmzh,129,нет скидки,ALMETTE
621668,"METRO Chef Сыр Чеддар красный 50%, 500г",https://online.metro-cc.ru/products/metro-chef-cheddar-krasnyj-narezka-50-500g,629,нет скидки,METRO CHEF
81435,"Сыр творожный Виолетта Violette Cream cheese сливочный 70%, 180г",https://online.metro-cc.ru/products/violette-70-180-g,139,нет скидки,ВИОЛЕТТА
621688,"METRO Chef Сыр Тильзитер 45%, ~1кг",https://online.metro-cc.ru/products/metro-chef-tilziter-45,949,нет скидки,METRO CHEF
658962,"Сыр President Камамбер 50%, 125г",https://online.metro-cc.ru/products/president-kamamber-zhest-50-125g-bzmzh,329,нет скидки,PRESIDENT
111786,"METRO Chef Сыр Маскарпоне 80%, 250г",https://online.metro-cc.ru/products/metro-chef-maskorpone-80-250g,262,нет скидки,METRO CHEF
111787,"METRO Chef Сыр с голубой плесенью 50%, 100г",https://online.metro-cc.ru/products/metro-chef-s-goluboj-50-100g,189,нет скидки,METRO CHEF
424990,"Сыр Mlekara Sabac Сербская брынза мягкий 45%, 250г",https://online.metro-cc.ru/products/mlekara-sabac-serbskaya-myagkij-45-250-g-bzmzh,239,нет скидки,MLEKARA SABAC
105441,"Сыр Cheese Gallery Гауда кусок 45%, 200г",https://online.metro-cc.ru/products/cheese-gallery-gauda-kusok-200g,254,189,CHEESE GALLERY
643530,"Сыр Брест-Литовск 45%, 200г",https://online.metro-cc.ru/products/brest-litovsk-45-200g-bzmzh,209,нет скидки,БРЕСТ-ЛИТОВСК
621721,"METRO Chef Сыр Гауда тертый 48%, 500г",https://online.metro-cc.ru/products/metro-chef-gauda-tertyj-48-500-g,459,нет скидки,METRO CHEF
621722,"METRO Chef Сыр Моцарелла 40% тертый, 500г",https://online.metro-cc.ru/products/metro-chef-mocarella-40-tertyj-500-g,439,нет скидки,METRO CHEF
621670,"METRO Chef Сыр Гауда 48%, 1кг",https://online.metro-cc.ru/products/gauda-narezka-48-metro-chef-1-kg,1 179,нет скидки,METRO CHEF
118312,"METRO Chef Сыр тертый для макарон 45%, 500г",https://online.metro-cc.ru/products/500g-50-tyortyj-d-makaron-metro-chef-bzmzh,429,нет скидки,METRO CHEF
93977,"Сыр Cheese Gallery Маасдам полутвердый кусок 45%, 180г",https://online.metro-cc.ru/products/cheese-gallery-maasdam-45-kusok-180-g-bzmzh,329,229,CHEESE GALLERY
666855,"Сыр Galbani Страчателла, 250г",https://online.metro-cc.ru/products/galbani-strachatella-250g,509,нет скидки,GALBANI
564848,"Сыр Unagrande Professionale Кремчиз сливочный 70%, 500г",https://online.metro-cc.ru/products/kremchiz-unagrande-professionale-70-500-g,579,449,UNAGRANDE
589172,"Сыр Le Superbe Cheddar полутвердый 50%, ~1.8кг",https://online.metro-cc.ru/products/lustenberger-cheddar-15kg-bzmzh,2 509,нет скидки,LE SUPERBE
44418,"Сыр Предгорье Кавказа Адыгейский легкий 30%, 300г",https://online.metro-cc.ru/products/predgorye-adygejskij-legkij-300-g,289,нет скидки,ПРЕДГОРЬЕ КАВКАЗА
204111,"Сыр Viola Маасдам кусок 45%, 220г",https://online.metro-cc.ru/products/220g-syr-45-viola-maasdam-kusok-bzmzh,329,нет скидки,VIOLA
214937,"Сыр Natura cливочный полутвердый 45%, 1кг",https://online.metro-cc.ru/products/1kg-syr-slivochnyy-45-natura-bzmzh,919,нет скидки,NATURA
589185,"Сыр Le Superbe Cheddar твердый 50%, 200г",https://online.metro-cc.ru/products/le-superbe-chedder-200-g,559,нет скидки,LE SUPERBE
622810,"Сыр President Чеддер плавленый ломтики 40%, 150г",https://online.metro-cc.ru/products/president-chedder-40-lomtikami-150g-bzmzh,134,99,PRESIDENT
544452,"Сыр Pretto Маскарпоне мягкий 80%, 500г",https://online.metro-cc.ru/products/myagkij-maskarpone-pretto-80-500-g,499,нет скидки,PRETTO
203768,"Сыр Viola российский нарезка 50%, 270г",https://online.metro-cc.ru/products/270g-syr-50-viola-rossiyskiy-narezka-bzmzh,369,нет скидки,VIOLA
516188,"Сыр Bonfesto Маскарпоне мягкий 78%, 250г",https://online.metro-cc.ru/products/maskarpone-bonfesto-78-250-g-bzmzh,292,нет скидки,BONFESTO
206435,"Сыр Laime Пармезан Gold твердый 40% 12 месяцев, 180г",https://online.metro-cc.ru/products/180g-syr-parmezan-40-laime-gold-vyderzh-ot-12-m-bzmzh,389,нет скидки,LAIME
204097,"Сыр Laplandia сливочный нарезка 45%, 250г",https://online.metro-cc.ru/products/250g-syr-45-laplandia-slivochnyy-narezka-bzmzh,399,259,LAPLANDIA
518582,"Сыр Bonfesto Маскарпоне мягкий 78%, 500г",https://online.metro-cc.ru/products/maskarpone-bonfesto-78-500-g-bzmzh,499,нет скидки,BONFESTO
204105,"Сыр Laplandia сливочный тертый 45%, 150г",https://online.metro-cc.ru/products/150g-syr-45-laplandia-slivochnyy-tertyy-bzmzh,202,149,LAPLANDIA
122602,"Сыр Alti Mozzarella Gourmet для пиццы 40%, ~2кг",https://online.metro-cc.ru/products/dlya-piccy-alti-mozzarella-gourmet-40-2-kg,669,нет скидки,ALTI
110756,"METRO Chef Сыр Камамбер 50%, 125г",https://online.metro-cc.ru/products/metro-chef-kamamber-50-125g,229,нет скидки,METRO CHEF
574154,"Сыр Laime Пармезан твердый 6 месяцев созревания 40%, 175г",https://online.metro-cc.ru/products/laime-parmezan-40-175-g-bzmzh,429,389,LAIME
519091,"Сыр Карлов двор Гауда полутвердый, ~1.5кг",https://online.metro-cc.ru/products/karlov-dvor-gauda-15kg-bzmzh,909,719,КАРЛОВ ДВОР
643527,"Сыр Брест-Литовск Сливочный 50%, 200г",https://online.metro-cc.ru/products/brest-litovsk-slivochnyj-50-200g,209,нет скидки,БРЕСТ-ЛИТОВСК
225276,"Сыр творожный President сливочный 56%, 140г",https://online.metro-cc.ru/products/140g-syr-tvorozhnyy-56-president-slivochnyy-bzmzh,116,84,PRESIDENT
516247,"Сыр Dolce Granto Пармезан твердый 40%, ~200г",https://online.metro-cc.ru/products/dolce-parmezan-300g-bzmzh,1 899,нет скидки,DOLCE
132383,"Сыр плавленый 45% Карат дружба, 400г",https://online.metro-cc.ru/products/syr-plavlennyy-45-karat-druzhba-400g-bzmzh,209,169,КАРАТ
516327,"Сыр Сиртаки Classic рассольный для греческого салата, 200г",https://online.metro-cc.ru/products/sirtaki-slassic-dlya-grecheskogo-salata-200-g-bzmzh,143,нет скидки,СИРТАКИ
526322,"Сыр Galbani Маскарпоне, 500г",https://online.metro-cc.ru/products/galbani-maskarpone-500g-bzmzh,799,нет скидки,GALBANI
561793,"Сыр плавленый Viola сливочный, 200г",https://online.metro-cc.ru/products/viola-slivochnyj-200-g-bzmzh,185,119,VIOLA
105785,"Сыр Белебеевский Купеческий 52%, 190г",https://online.metro-cc.ru/products/bmk-kupecheskij-52-190g,229,169,БЕЛЕБЕЕВСКИЙ
639884,"Сыр La Paulina Чеддер 48%, 200г",https://online.metro-cc.ru/products/chedder-48-la-paulina-200g,259,нет скидки,LA PAULINA
121162,"Сыр Natura cливочный легкий полутвердый 16%, 200г",https://online.metro-cc.ru/products/200g-30-natura-slivochnyj-legkij-bzmzh,246,нет скидки,NATURA
567734,"Сыр Тревиль нуар Камамбер мягкий 45%, 130г",https://online.metro-cc.ru/products/kamamber-trevil-nuar-130g-bzmzh,269,219,ТРЕВИЛЬ
133362,"Сыр Брест-Литовск Гауда 45%, 200г",https://online.metro-cc.ru/products/syr-gauda-brest-litovs-45-200g-bzmzh,219,нет скидки,БРЕСТ-ЛИТОВСК
136096,"Сыр пармезан Laime 40%, 185г",https://online.metro-cc.ru/products/185g-syr-parmezan-laime-40-bzmzh,389,нет скидки,LAIME
626012,"Сыр Pretto Чильеджина Моцарелла в воде 45%, 100г",https://online.metro-cc.ru/products/art_626012,109,нет скидки,PRETTO
130364,"Сыр легкий Тысяча озёр нарезка 15%, 125г",https://online.metro-cc.ru/products/125g-15-legkij-tysyacha-ozyor-nar-bzmzh,157,нет скидки,ТЫСЯЧА ОЗЁР
531453,"Сыр Предгорье Кавказа Чечил-спагетти 45%, 110г",https://online.metro-cc.ru/products/predgorye-kavkaza-chechil-spagetti-45-110-g-bzmzh,193,119,ПРЕДГОРЬЕ КАВКАЗА
132384,"Сыр творожный 70% Виолетта сливочный, 140г",https://online.metro-cc.ru/products/syr-tvorozhnyy-70-violetta-slivochnyy-140g-bzmzh,107,89,ВИОЛЕТТА
201941,"Сыр Blue Delice голубая плесень 50%, 100г",https://online.metro-cc.ru/products/100g-syr-50-bluedelice-golubaya-plesen-bzmzh,249,нет скидки,BLUE DELICE
211829,"Сыр Bonfesto творожный 70%, 400г",https://online.metro-cc.ru/products/400g-syr-tvorozhnyy-70-bonfesto-bzmzh,287,нет скидки,BONFESTO
133361,"Сыр Тильзитер Брест-Литовск 45%, 200г",https://online.metro-cc.ru/products/syr-tilziter-brest-litovsk-45-200g-bzmzh,219,нет скидки,БРЕСТ-ЛИТОВСК
132386,"Сыр творожный 70% Виолетта зелень, 140г",https://online.metro-cc.ru/products/syr-tvorozhnyy-70-violetta-zelen-140g-bzmzh,107,89,ВИОЛЕТТА
61548,"Сыр President Бри, 125г",https://online.metro-cc.ru/products/art_61548,349,нет скидки,PRESIDENT
88557,"Сыр плавленый President сливочный 45%, 200г",https://online.metro-cc.ru/products/slivochnyj-president-45-200g-bzmzh,169,139,PRESIDENT
458371,"Сыр Город сыра копченый колбасный 40%, 150г",https://online.metro-cc.ru/products/kolbasnyj-kopchenyj-gorod-150g-bzmzh,116,79,ГОРОД СЫРА
621690,"METRO Chef Сыр Чеддар красный полутвердый 50%, ~1кг",https://online.metro-cc.ru/products/cheddar-metro-chef-krasnyj-50-1-kg,1 089,нет скидки,METRO CHEF
